zip_code,total_population,total_population_male,total_population_female,median_age,under_18,age_18_and_over,age_65_and_over
02111,8417,4212,4205,30.7,1302,7115,1210
02113,6688,3153,3535,30,277,6411,596
02114,13356,7140,6216,32.7,947,12409,1501
02115,27838,12824,15014,22.1,1590,26248,2535
02116,22286,10115,12171,34.4,1665,20621,3507
02118,28392,14030,14362,37.3,3799,24593,3990
02119,26821,12689,14132,34.7,5109,21712,4033
02120,14364,7294,7070,23.8,1439,12925,1046
02121,29820,13532,16288,33.2,7487,22333,3458
02122,24705,12456,12249,36.6,4758,19947,3156
02124,55336,26038,29298,36.3,12853,42483,7487
02125,31903,14889,17014,33.6,5469,26434,3864
02126,24994,11321,13673,36.9,5955,19039,3741
02127,36175,17485,18690,32.4,4254,31921,3284
02128,45357,24026,21331,33.7,8744,36613,3531
02129,19832,9206,10626,35.8,4284,15548,2540
02130,41479,19595,21884,35,6907,34572,5579
02131,31637,15264,16373,38.5,6259,25378,4626
02132,26488,12928,13560,43.6,5340,21148,5297
02133,0,0,0,-,0,0,0
02134,17969,9193,8776,27.8,1207,16762,1199
02135,44480,21834,22646,30.2,3600,40880,5592
02136,39498,18516,20982,37.7,9129,30369,6249
02138,38006,18537,19469,29.2,4677,33329,5397
02139,39856,20481,19375,29.8,4651,35205,4067
02140,21553,10708,10845,34.7,3157,18396,2769
02141,14402,7172,7230,31.4,1666,12736,1484
02142,4474,2379,2095,30.9,248,4226,332
02143,25329,12373,12956,32.8,2099,23230,2708
02144,25022,12339,12683,31.4,2498,22524,2445
02145,27692,14235,13457,33.5,3732,23960,2696
02148,65463,33848,31615,35.4,12045,53418,8404
02149,48685,25654,23031,36,10617,38068,5596
02150,39875,20891,18984,34.5,9143,30732,4068
02151,60592,29976,30616,39.6,11902,48690,8815
02152,19031,8871,10160,44.7,3400,15631,3816
02155,63873,30295,33578,34.5,8452,55421,9613
02163,1994,1121,873,26.5,107,1887,0
02169,60938,30664,30274,37.8,9480,51458,10217
02170,19928,10086,9842,38.2,2922,17006,3232
02171,19882,10105,9777,41,2657,17225,3482
02176,29477,14355,15122,43.1,5785,23692,5674
02180,22992,10929,12063,42.1,4530,18462,4474
02184,38748,19338,19410,41.4,7990,30758,6730
02186,28683,13561,15122,40,7274,21409,4593
02188,15313,7866,7447,46,2390,12923,3357
02189,15567,7292,8275,42.5,2767,12800,2247
02190,18516,8839,9677,41.8,3254,15262,3236
02191,7904,3955,3949,52.3,1137,6767,1967
02199,1221,527,694,40.4,66,1155,202
02203,0,0,0,-,0,0,0
02205,0,0,0,-,0,0,0
02210,5706,3139,2567,37.4,224,5482,472
02215,24522,10803,13719,21.9,604,23918,791
02301,69225,34013,35212,35.4,17672,51553,9081
02302,35488,17181,18307,38.1,8521,26967,5061
02322,4730,2260,2470,37.3,1024,3706,896
02324,25819,13832,11987,40,4952,20867,4797
02325,2712,1118,1594,20.1,0,2712,0
02330,11641,5658,5983,45.7,2127,9514,2536
02332,16041,7662,8379,47.6,3579,12462,3775
02333,14382,7090,7292,41.3,2913,11469,2261
02338,7728,3600,4128,41.4,1792,5936,1327
02339,14773,7412,7361,41,3861,10912,2227
02341,10513,5376,5137,43.7,2130,8383,1911
02343,11282,5591,5691,43.2,2279,9003,2347
02346,24268,12216,12052,43,4706,19562,5006
02347,11625,5686,5939,41.9,2406,9219,1910
02350,106,56,50,48.7,26,80,40
02351,17003,8650,8353,40.6,3960,13043,2146
02356,12201,6033,6168,46,2514,9687,2792
02357,1319,600,719,20.2,0,1319,0
02359,18330,8657,9673,43.2,3726,14604,3090
02360,61412,29971,31441,47.7,10536,50876,14999
02364,13702,7059,6643,45.1,2801,10901,2869
02366,216,216,0,36.5,0,216,8
02367,2923,1429,1494,46.5,634,2289,654
02368,34747,17068,17679,40.3,6431,28316,5763
02370,17721,8338,9383,41.6,3750,13971,2622
02375,11501,5354,6147,43.9,2341,9160,2087
02379,7648,3604,4044,41.2,1515,6133,1404
02382,15146,7262,7884,40.3,3275,11871,2177
02420,16356,7868,8488,45.4,4395,11961,3163
02421,17865,8631,9234,47.8,4494,13371,4010
02445,22124,10586,11538,35.1,4060,18064,3452
02446,31517,13676,17841,33.3,5226,26291,4840
02451,18379,9467,8912,39.5,2388,15991,3404
02452,15830,7310,8520,31.8,2168,13662,2599
02453,30365,15199,15166,34,4039,26326,4305
02457,1758,759,999,20,1,1757,0
02458,12706,6455,6251,40.6,2653,10053,2051
02459,19182,9364,9818,45.5,4179,15003,4231
02460,9888,4656,5232,43,2118,7770,2099
02461,7049,3606,3443,44.7,1670,5379,1198
02462,1438,673,765,50.7,218,1220,388
02464,3440,1681,1759,41.8,534,2906,518
02465,11823,6020,5803,42,2695,9128,1974
02466,8859,4049,4810,35.5,1781,7078,1408
02467,21709,10371,11338,29.9,3887,17822,3517
02468,5589,2618,2971,47.1,1579,4010,1154
02472,35300,16840,18460,38.2,5184,30116,6196
02474,28167,13477,14690,38.5,6072,22095,4119
02476,17739,8233,9506,44.9,3716,14023,3504
02478,26964,12579,14385,42,6555,20409,4747
02481,17100,7303,9797,35.4,4762,12338,2344
02482,11004,5281,5723,46.2,2752,8252,2224
02492,21192,10015,11177,42.6,6115,15077,3692
02493,11759,5976,5783,45.6,2924,8835,2491
02494,10765,5162,5603,44.2,2688,8077,2137
02532,13092,5815,7277,54.9,2157,10935,4289
02534,1460,780,680,51.4,281,1179,401
02535,2269,1159,1110,53.8,307,1962,763
02536,20909,10351,10558,54.5,3056,17853,6094
02537,6408,3081,3327,50.1,1226,5182,1699
02538,4494,2183,2311,39.3,845,3649,758
02539,5159,2515,2644,50.2,870,4289,942
02540,8615,3793,4822,61,1038,7577,3612
02542,766,421,345,27.4,223,543,0
02543,801,342,459,68.5,0,801,486
02553,76,0,76,-,0,76,76
02554,13861,7609,6252,40.4,3201,10660,2156
02556,2375,1097,1278,49.3,483,1892,681
