DISCIPLINE,COMMONNAME,LEGALNAME,ADSTREET,ADCITY,ADSTATE,ADZIP5,WEBURL,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4
ART,COLONEL EUGENE E. MYERS ART GALLERY,COLONEL EUGENE E. MYERS ART GALLERY,3350 CAMPUS ROAD,GRAND FORKS,ND,58502,HTTP://WWW.NDTOURISM.COM/GRAND-FORKS/ENTERTAINMENT/COLONEL-EUGENE-E-MYERS-ART-GALLERY,-97.07413,47.92258,5,4,4
ART,COLORADO GALLERY OF THE ARTS,COLORADO GALLERY OF THE ARTS,5900 SOUTH SANTA FE DRIVE,LITTLETON,CO,80120,HTTPS://WWW.ARAPAHOE.EDU/DEPARTMENTS-AND-PROGRAMS/A-Z-PROGRAMS/ART/ART-GALLERIES,-105.02106,39.61029,5,7,2
ART,COLUMBIA COLLEGE ART GALLERY,COLUMBIA COLLEGE,623 SOUTH WABASH AVENUE,CHICAGO,IL,60605,NA,-87.62425,41.87442,4,3,1
ART,COMMONS STUDENT ART GALLERY,COMMONS STUDENT ART GALLERY,7000 RIVERS AVENUE,CHARLESTON,SC,29423,HTTP://WWW.TRIDENTTECH.EDU/ABOUT/LOCATIONS/PALMER/PALM_SUPPORT.HTM,-80.03217,32.92497,3,5,4
ART,COMMUNITY ART GALLERY,COMMUNITY ART GALLERY,160 CONVENT AVENUE,NEW YORK,NY,10031,NA,-73.9507,40.81867,2,2,1
ART,CONCORDIA GALLERY,CONCORDIA UNIVERSITY ST PAUL,1282 CONCORDIA AVE,SAINT PAUL,MN,55104,NA,-93.15439,44.95118,4,4,1
ART,CONCORDIA UNIVERSITY GALLERY,CONCORDIA UNIVERSITY INC,12800 NORTH LAKE SHORE DRIVE,MEQUON,WI,53097,HTTPS://WWW.CUW.EDU,-87.904,43.2202,4,3,2
ART,COE COLLEGE PERMANENT ART COLLECTION,COE COLLEGE,1220 1ST AVE NE,CEDAR RAPIDS,IA,52402,NA,-91.65742,41.98534,4,4,1
ART,CONKLING GALLERY,CONKLING GALLERY,SOUTH RD AND ELLIS AVE,MANKATO,MN,56001,HTTP://WWW.MNSU.EDU,-93.99165,44.15686,4,4,1
ART,CONLEY GALLERY,CONLEY GALLERY,5225 NORTH BACKER AVENUE,FRESNO,CA,93740,NA,-119.75895,36.82391,6,8,1
ART,CONOCO ART GALLERY,CONOCO ART GALLERY,1801 E 4TH ST,OKMULGEE,OK,74447,NA,-95.94307,35.62447,5,6,3
ART,CONSTANCE GALLERY,GRACELAND UNIVERSITY,1 UNIVERSITY PLACE,LAMONI,IA,50140,HTTP://WWW.GRACELAND.EDU/VPA/SHAW-CENTER.CFM,-93.92303,40.61647,4,4,4
ART,CONTEMPORARY ART GALLERY,CONTEMPORARY ART GALLERY,300 SOUTH BROADWAY,ST LOUIS,MO,63122,NA,-90.191,38.62286,4,4,4
ART,CONTEMPORARY ART MUSEUM,CONTEMPORARY ART MUSEUM,3821 USF HOLLY DRIVE,TAMPA,FL,33620,NA,-82.41321,28.05462,3,5,1
ART,CONTEMPORARY GALLERY,MARYWOOD UNIVERSITY,2300 ADAMS AVENUE,SCRANTON,PA,18509,HTTP://MARYWOOD.EDU,-75.63623,41.43385,2,2,1
ART,CORA STAFFORD GALLERY,CORA STAFFORD GALLERY,1501 W CHESTNUT AVE,DENTON,TX,76203,NA,-97.14631,33.21142,5,6,1
ART,CORNELL FINE ARTS MUSEUM,ROLLINS COLLEGE,1000 HOLT AVENUE,WINTER PARK,FL,32789,NA,-81.35578,28.59844,3,5,2
ART,COS ART GALLERY,COS ART GALLERY,800 COLLEGE AVE,WEED,CA,96094,NA,-122.39551,41.41289,6,8,4
ART,COSUMNES RIVER COLLEGE ART GALLERY,COSUMNES RIVER COLLEGE ART GALLERY,8401 CENTER PARKWAY,SACRAMENTO,CA,95823,HTTPS://WWW.CRC.LOSRIOS.EDU/CULTURE/ARTGALLERY,-121.42254,38.45468,6,8,1
ART,CRANBROOK ART MUSEUM,CRANBROOK EDUCATIONAL COMMUNITY,39221 WOODWARD AVE,BLOOMFIELD HILLS,MI,48303,NA,-83.24777,42.61986,4,3,2
ART,CRANDALL ART GALLERY,UNIVERSITY OF MOUNT UNION,1972 CLARK AVE,ALLIANCE,OH,44601,HTTP://WWW.MOUNTUNION.EDU/COMPOSITIONS-2000-ON-DISPLAY-IN-CRANDALL-ART-GALLERY,-81.10921,40.90195,4,3,3
ART,CREATIVE ARTS CENTER GALLERIES,STATE OF WEST VIRGINIA,ONE FINE ARTS DRIVE,MORGANTOWN,WV,26506,NA,-79.95663,39.64011,3,5,4
ART,CREATIVE CENTER STUDENT GALLERY,CREATIVE CENTER STUDENT GALLERY,10850 EMMET ST,OMAHA,NE,68164,NA,-96.08211,41.28984,5,4,4
ART,CRESTON GALLERY,CRESTON GALLERY,1501 W TOWNLINE STREET,CRESTON,IA,50801,NA,-94.3807,41.07123,4,4,4
ART,CRISP-ELLERT ART MUSEUM,FLAGLER COLLEGE INC,48 SEVILLA STREET,ST AUGUSTINE,FL,32084,HTTP://WWW.FLAGLER.EDU/NEWS-EVENTS/CRISP-ELLERT-ART-MUSEUM,-81.34371,29.88685,3,5,4
ART,CROSSMAN GALLERY,CROSSMAN GALLERY,950 WEST MAIN STREET,WHITEWATER,WI,53190,HTTP://BLOGS.UWW.EDU/CROSSMAN/,-88.75724,42.82373,4,3,4
ART,CRYOR ART GALLERY,CRYOR ART GALLERY,2500 WEST NORTH AVENUE,BALTIMORE,MD,21216,HTTP://WWW.COPPIN.EDU/INFO/200748/,-76.65746,39.30954,2,2,1
ART,CSN FINE ARTS GALLERY,BOARD OF REGENTS NEVADA SYSTEM OF HIGHER EDUCATION,700 COLLEGE DRIVE,HENDERSON,NV,89002,HTTP://SITES.CSN.EDU/ARTGALLERY/INDEX.HTML,-119.81437,39.55106,6,8,4
ART,CSU PUEBLO FINE ART GALLERY,CSU PUEBLO FINE ART GALLERY,2200 BONFORTE BLVD,PUEBLO,CO,81001,HTTP://CHASS.CSUPUEBLO.EDU/ART/GALLERIES/CAPPSCAPOZZOLOSTUDENTARTGALLERY/PAGES/DEFAULT.ASPX,-104.5806,38.30445,5,7,4
ART,CSUCI EXHIBITIONS GALLERY @ CAMARILLO,CSUCI EXHIBITIONS GALLERY @ CAMARILLO,ONE UNIVERSITY DRIVE,CAMARILLO,CA,93012,HTTP://ART.CSUCI.EDU/GALLERY/,-119.03879,34.18044,6,8,4
ART,CU ART MUSEUM,REGENTS OF THE UNIVERSITY OF COLORADO,1085 18TH STREET,BOULDER,CO,80309,NA,-104.98321,39.74526,5,7,1
ART,CULINARY ART MUSEUM AND ARCHIVES,JOHNSON & WALES UNIVERSITY,315 HARBORSIDE BLVD,PROVIDENCE,RI,02905,HTTP://WWW.CULINARY.ORG/,-71.41395,41.81985,1,1,1
ART,CULTURAL ARTS GALLERY,CULTURAL ARTS GALLERY,601 S COLLEGE ROAD,WILMINGTON,NC,28403,NA,-77.86808,34.22461,3,5,1
ART,CUMMINGS ART GALLERIES,CONNECTICUT COLLEGE,270 MOHEGAN AVENUE PARKWAY,NEW LONDON,CT,06320,NA,-72.1055,41.37293,1,1,1
ART,CUMMINGS ART GALLERY,MERCYHURST UNIVERSITY,501 E 38TH ST,ERIE,PA,16546,HTTP://WWW.MERCYHURST.EDU/ACADEMICS/ACADEMIC-DEPARTMENTS/ART,-80.05335,42.10709,2,2,4
ART,CURFMAN GALLERY,CURFMAN GALLERY,LORY STUDENT CTR,FORT COLLINS,CO,80523,HTTP://WWW.CURFMAN.COLOSTATE.EDU,-105.08608,40.57224,5,7,1
ART,CURRIER MUSEUM OF ART,UNIVERSITY SYSTEM OF NEW HAMPSHIRE,150 ASH ST,MANCHESTER,NH,03104,NA,-71.13351,43.24616,1,1,4
ART,CYPRESS COLLEGE ART GALLERY,CYPRESS COLLEGE ART GALLERY,9200 VALLEY VIEW,CYPRESS,CA,90630,HTTP://WWW.CYPRESSCOLLEGE.EDU/ACADEMICS/ACADEMICPROGRAMS/FINEARTS/ARTGALLERY,-118.02812,33.8294,6,8,2
ART,CYRUS M. RUNNING GALLERY,CONCORDIA COLLEGE CORPORATION,901 S 8TH ST,MOORHEAD,MN,56562,NA,-96.76815,46.8651,4,4,2
ART,DAAP GALLERIES,DAAP GALLERIES,2624 CLIFTON AVENUE,CINCINNATI,OH,45221,HTTP://DAAP.UC.EDU/GAL.HTML,-84.51674,39.13111,4,3,2
ART,DAEMEN ART GALLERY,DAEMEN COLLEGE,4380 MAIN ST,AMHERST,NY,14226,HTTP://WWW.DAEMEN.EDU/STUDENTLIFE/INSIGHT/FALL2009/PAGES/THEDAEMENARTGALLERY.ASPX,-78.79035,42.96383,2,2,2
ART,DAKOTA STATE UNIVERSITY ART GALLERY,DAKOTA STATE UNIVERSITY ART GALLERY,820 N WASHINGTON AVE,MADISON,SD,57042,HTTP://WWW.DEPARTMENTS.DSU.EDU/ART-GALLERY/,-97.1097,44.01325,5,4,4
ART,DALTON ART GALLERY,DALTON ART GALLERY,141 EAST COLLEGE AVENUE,DECATUR,GA,30030,HTTP://WWW.DALTONGALLERY.ORG/,-84.29563,33.76984,3,5,2
ART,DALTON GALLERY,DALTON GALLERY,1029 CRAWFORD RD,ROCK HILL,SC,29730,HTTPS://CLINTONCOLLEGE.EDU/DEFAULT.ASPX,-81.04353,34.91437,3,5,4
ART,DANFORTH MUSEUM OF ART,DANFORTH MUSEUM OF ART,123 UNION AVENUE,FRAMINGHAM,MA,01702,HTTP://WWW.DANFORTHART.ORG,-71.41827,42.28099,1,1,1
ART,DARIO A. COVI GALLERY,DARIO A. COVI GALLERY,2301 S 3RD ST,LOUISVILLE,KY,40292,NA,-85.76223,38.21938,3,5,1
